step,L_total,loss_vol,loss_rep,loss_bnd,loss_curve_length,curve_length_min,curve_length_max,curve_length_mean,loss_cell_edge_uniform,loss_fem,loss_comp,comp,vol_frac,vol_frac_internal,vol_frac_eff_total,vol_frac_eff,VF_total,VF_eff_total,VF_int,VF_eff_int,vol_dev,vol_dev_eff,tau,seed_offset_scale,rho_min,rho_mean,rho_max,filter_delta_mean,filter_delta_max,projection_delta_mean,projection_delta_max,rho_raw_mean,rho_filtered_mean,rho_projected_mean,rho_final_mean,drho,dseed,min_seed_dist,grad_mean,best_score,best_step,best_hard_score,best_hard_step,fem_valid,fem_failure_reason,optimizer_step_skipped,w_geo_mean,h_mean,centerline_radius_mean,active_count_total,active_count_mean,active_frac_mean,inactive_count_total,inactive_count_mean,inactive_frac_mean,anchor_update_allowed,collapse_active
0,45.47734832763672,0.0,0.0,0.0,45.47734832763672,0.026936564594507217,1.636279582977295,0.5990208387374878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06690355390310287,0.00045154185340834374,45.47734832763672,0,nan,-1.0,True,,False,0.010050058364868164,0.0,0.010050058364868164,100.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0
1,51.78465270996094,-0.0,0.0,-0.0,51.78465270996094,0.021967070177197456,1.6343965530395508,0.5988840460777283,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003650309517979622,0.06760744750499725,0.0003644149243200445,45.47734832763672,0,nan,-1.0,True,,False,0.010050058364868164,0.0,0.010050058364868164,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0
2,39.473514556884766,-0.0,0.0,-0.0,39.473514556884766,0.033095404505729675,1.6327590942382812,0.5988519191741943,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.14999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006287148571573198,0.06811457872390747,0.00037400423434519325,39.473514556884766,2,nan,-1.0,True,,False,0.010050058364868164,0.0,0.010050058364868164,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0
3,55.70286560058594,-0.0,0.0,-0.0,55.70286560058594,0.0194860752671957,1.631460189819336,0.5989134907722473,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008521702839061618,0.06854734569787979,0.0004190481440673466,39.473514556884766,2,nan,-1.0,True,,False,0.010050058364868164,0.0,0.010050058364868164,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0
4,83.38162994384766,-0.0,0.0,-0.0,83.38162994384766,0.009229915216565132,1.6303248405456543,0.5990259647369385,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010710719507187605,0.069087915122509,0.0005006385059687091,39.473514556884766,2,nan,-1.0,True,,False,0.010050058364868164,0.0,0.010050058364868164,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0
5,35.41664505004883,-0.0,0.0,-0.0,35.41664505004883,0.03848981112241745,1.6298770904541016,0.5991432666778564,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012011730577796698,0.06948824971914291,0.0004222353519480748,35.41664505004883,5,nan,-1.0,True,,False,0.010050058364868164,0.0,0.010050058364868164,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0
6,62.38111877441406,-0.0,0.0,-0.0,62.38111877441406,0.016057968139648438,1.6295127868652344,0.5991635322570801,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012745140120387077,0.06962449848651886,0.00041942713289699896,35.41664505004883,5,nan,-1.0,True,,False,0.010050058364868164,0.0,0.010050058364868164,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0
7,58.44026184082031,-0.0,0.0,-0.0,58.44026184082031,0.01799067109823227,1.6293983459472656,0.5991209149360657,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.14999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013140345690771937,0.0695866122841835,0.0004158085455401306,35.41664505004883,5,nan,-1.0,True,,False,0.010050058364868164,0.0,0.010050058364868164,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0
8,37.82643127441406,-0.0,0.0,-0.0,37.82643127441406,0.03518790006637573,1.6292381286621094,0.5990440249443054,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013429030077531934,0.06945983320474625,0.0005471648237289628,35.41664505004883,5,nan,-1.0,True,,False,0.010050058364868164,0.0,0.010050058364868164,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0
9,46.04117202758789,-0.0,0.0,-0.0,46.04117202758789,0.026446688920259476,1.6293411254882812,0.5990130305290222,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013484423980116844,0.06930089741945267,0.0005433946187167749,35.41664505004883,5,nan,-1.0,True,,False,0.010050058364868164,0.0,0.010050058364868164,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0
