step,L_total,loss_vol,loss_rep,loss_bnd,loss_curve_length,curve_length_min,curve_length_max,curve_length_mean,loss_cell_edge_uniform,loss_fem,loss_comp,comp,vol_frac,vol_frac_internal,vol_frac_eff_total,vol_frac_eff,VF_total,VF_eff_total,VF_int,VF_eff_int,vol_dev,vol_dev_eff,tau,seed_offset_scale,rho_min,rho_mean,rho_max,filter_delta_mean,filter_delta_max,projection_delta_mean,projection_delta_max,rho_raw_mean,rho_filtered_mean,rho_projected_mean,rho_final_mean,drho,dseed,min_seed_dist,grad_mean,best_score,best_step,best_hard_score,best_hard_step,fem_valid,fem_failure_reason,optimizer_step_skipped,w_geo_mean,h_mean,centerline_radius_mean,active_count_total,active_count_mean,active_frac_mean,inactive_count_total,inactive_count_mean,inactive_frac_mean,anchor_update_allowed,collapse_active
0,112.85755157470703,0.0,0.0,0.0,112.85755157470703,0.020883003249764442,6.341059684753418,2.6245694160461426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09759235382080078,0.0005694556562048092,112.85755157470703,0,nan,-1.0,True,,False,0.010050058364868164,0.0,0.1258549690246582,20.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0
1,42.904109954833984,-0.0,0.0,-0.0,42.904109954833984,0.12946687638759613,6.339853286743164,2.624077796936035,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022608325525652617,0.09754544496536255,0.0006730616846652993,42.904109954833984,1,nan,-1.0,True,,False,0.010050058364868164,0.0,0.1258549690246582,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
2,30.597299575805664,-0.0,0.0,-0.0,30.597299575805664,0.20456062257289886,6.338466644287109,2.6237330436706543,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.14999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004443638026714325,0.09752406924962997,0.0004374683940113755,30.597299575805664,2,nan,-1.0,True,,False,0.010050058364868164,0.0,0.1258549690246582,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
3,29.112436294555664,-0.0,0.0,-0.0,29.112436294555664,0.21732592582702637,6.33787727355957,2.6235060691833496,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005909870960749686,0.09751951694488525,0.0004374662817099306,29.112436294555664,3,nan,-1.0,True,,False,0.010050058364868164,0.0,0.1258549690246582,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
4,27.46256446838379,-0.0,0.0,-0.0,27.46256446838379,0.23296838998794556,6.3370466232299805,2.62331485748291,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007314467220567167,0.09752241522073746,0.0004517379661592713,27.46256446838379,4,nan,-1.0,True,,False,0.010050058364868164,0.0,0.1258549690246582,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
5,25.89151382446289,-0.0,0.0,-0.0,25.89151382446289,0.24944216012954712,6.336234092712402,2.6231539249420166,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008595524705015123,0.09752921760082245,0.00047180407364066923,25.89151382446289,5,nan,-1.0,True,,False,0.010050058364868164,0.0,0.1258549690246582,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
6,24.46147346496582,-0.0,0.0,-0.0,24.46147346496582,0.26595693826675415,6.335175514221191,2.6229963302612305,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000979923876002431,0.09753743559122086,0.000495323739869491,24.46147346496582,6,nan,-1.0,True,,False,0.010050058364868164,0.0,0.1258549690246582,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
7,23.107091903686523,-0.0,0.0,-0.0,23.107091903686523,0.283124715089798,6.3338727951049805,2.622849225997925,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.14999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011010331800207496,0.09754572063684464,0.0005121121657793992,23.107091903686523,7,nan,-1.0,True,,False,0.010050058364868164,0.0,0.1258549690246582,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
8,21.823270797729492,-0.0,0.0,-0.0,21.823270797729492,0.3009580969810486,6.332214832305908,2.622704267501831,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012222564546391368,0.09755375981330872,0.0005409465256889234,21.823270797729492,8,nan,-1.0,True,,False,0.010050058364868164,0.0,0.1258549690246582,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
9,20.641048431396484,-0.0,0.0,-0.0,20.641048431396484,0.31890779733657837,6.330275535583496,2.622568368911743,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000044703484,0.023000000044703484,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013439110480248928,0.09756185114383698,0.0005493895532708848,20.641048431396484,9,nan,-1.0,True,,False,0.010050058364868164,0.0,0.1258549690246582,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
