step,L_total,loss_vol,loss_rep,loss_bnd,loss_fem,loss_comp,comp,vol_frac,vol_frac_internal,vol_frac_eff_total,vol_frac_eff,VF_total,VF_eff_total,VF_int,VF_eff_int,vol_dev,vol_dev_eff,tau,seed_offset_scale,rho_min,rho_mean,rho_max,filter_delta_mean,filter_delta_max,projection_delta_mean,projection_delta_max,rho_raw_mean,rho_filtered_mean,rho_projected_mean,rho_final_mean,drho,dseed,min_seed_dist,grad_mean,best_score,best_step,best_hard_score,best_hard_step,fem_valid,fem_failure_reason,optimizer_step_skipped,w_geo_mean,h_mean,centerline_radius_mean,active_count_total,active_count_mean,active_frac_mean,inactive_count_total,inactive_count_mean,inactive_frac_mean,anchor_update_allowed,collapse_active
0,1695141.625,250.6107635498047,0.0,0.5897453427314758,8472.98046875,8472.98046875,8472.98046875,0.4253499209880829,0.4253499209880829,0.38710588216781616,0.38710588216781616,0.4253499209880829,0.38710588216781616,0.4253499209880829,0.38710588216781616,0.40234991908073425,0.36410588026046753,0.02,0.5,0.0,0.4335664212703705,0.9988166689872742,0.010377459228038788,0.106758713722229,0.13182182610034943,0.2686835825443268,0.41100549697875977,0.4114406704902649,0.4335664212703705,0.4335664212703705,0.0,0.0,0.25136974453926086,0.05041140142808823,1695141.625,0,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
1,1695119.625,250.58905029296875,0.0,0.5879871249198914,8472.875,8472.875,8472.875,0.42532315850257874,0.42532315850257874,0.38709011673927307,0.38709011673927307,0.42532315850257874,0.38709011673927307,0.42532315850257874,0.38709011673927307,0.4023231565952301,0.36409011483192444,0.02,0.49999700399999997,0.0,0.43354082107543945,0.9988197088241577,0.010376622900366783,0.10484731197357178,0.13180626928806305,0.26868361234664917,0.41098251938819885,0.41141754388809204,0.43354082107543945,0.43354082107543945,0.0011795409955084324,0.0001815597788663581,0.25137463212013245,0.047778475914836034,1695119.625,1,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
2,1695078.375,250.5562286376953,0.0,0.5867941975593567,8472.671875,8472.671875,8472.671875,0.42529138922691345,0.42529138922691345,0.3870662748813629,0.3870662748813629,0.42529138922691345,0.3870662748813629,0.42529138922691345,0.3870662748813629,0.4022913873195648,0.3640662729740143,0.02,0.49998803199999997,0.0,0.4335101842880249,0.9988214373588562,0.01037567388266325,0.10299265384674072,0.1317930519580841,0.26868361234664917,0.4109592139720917,0.41139423847198486,0.4335101842880249,0.4335101842880249,0.0022903841454535723,0.00035243932507000864,0.2513777017593384,0.05120195155258342,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
3,1695402.625,250.54611206054688,0.0,0.5859269499778748,8474.2958984375,8474.2958984375,8474.2958984375,0.42527681589126587,0.42527681589126587,0.38705891370773315,0.38705891370773315,0.42527681589126587,0.38705891370773315,0.42527681589126587,0.38705891370773315,0.40227681398391724,0.3640589118003845,0.02,0.499973108,0.0,0.4334959387779236,0.9988222122192383,0.010375355370342731,0.10121020674705505,0.13177931308746338,0.2686835825443268,0.410948246717453,0.4113832116127014,0.4334959387779236,0.4334959387779236,0.003335664514452219,0.0005173892132006586,0.2513846755027771,0.051029128979684577,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
4,1695651.25,250.56690979003906,0.0,0.5854738354682922,8475.5400390625,8475.5400390625,8475.5400390625,0.425284206867218,0.425284206867218,0.3870740234851837,0.3870740234851837,0.425284206867218,0.3870740234851837,0.425284206867218,0.3870740234851837,0.4022842049598694,0.3640740215778351,0.02,0.49995225600000004,0.0,0.4335028827190399,0.9988247156143188,0.010373125784099102,0.10134044289588928,0.13176071643829346,0.26868361234664917,0.41095829010009766,0.41139310598373413,0.4335028827190399,0.4335028827190399,0.0043344274163246155,0.0006787534221075475,0.2513915002346039,0.0510445457912283,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
5,1695750.875,250.4969940185547,0.0,0.5852503180503845,8476.0390625,8476.0390625,8476.0390625,0.4252299964427948,0.4252299964427948,0.3870232403278351,0.3870232403278351,0.4252299964427948,0.3870232403278351,0.4252299964427948,0.3870232403278351,0.40222999453544617,0.36402323842048645,0.02,0.49992549999999997,0.0,0.4334508180618286,0.9988224506378174,0.010373377241194248,0.10247635841369629,0.1317569613456726,0.26868343353271484,0.4109116792678833,0.41134655475616455,0.4334508180618286,0.4334508180618286,0.004958275239914656,0.0007731313235126436,0.25139328837394714,0.05116489671733385,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
6,1695757.0,250.58648681640625,0.0,0.5848004817962646,8476.0703125,8476.0703125,8476.0703125,0.4252891540527344,0.4252891540527344,0.38708823919296265,0.38708823919296265,0.4252891540527344,0.38708823919296265,0.4252891540527344,0.38708823919296265,0.40228915214538574,0.364088237285614,0.02,0.499892864,0.0,0.43350836634635925,0.9988329410552979,0.010371712036430836,0.10296520590782166,0.13174347579479218,0.2686835825443268,0.41096046566963196,0.4113953113555908,0.43350833654403687,0.43350833654403687,0.005217087920755148,0.0008219649316743016,0.2513919770717621,0.05130073130809857,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
7,1695744.75,250.58506774902344,0.0,0.5843588709831238,8476.009765625,8476.009765625,8476.009765625,0.4252854883670807,0.4252854883670807,0.38708722591400146,0.38708722591400146,0.4252854883670807,0.38708722591400146,0.4252854883670807,0.38708722591400146,0.40228548645973206,0.36408722400665283,0.02,0.499854372,0.0,0.4335055947303772,0.9988364577293396,0.010371767915785313,0.10308212041854858,0.13174083828926086,0.2686835527420044,0.4109536111354828,0.41138848662376404,0.4335055947303772,0.4335055947303772,0.005319530609995127,0.0008395552868023515,0.251388281583786,0.05102204635558236,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
8,1695662.75,250.57745361328125,0.0,0.5837659239768982,8475.6015625,8475.6015625,8475.6015625,0.4252780079841614,0.4252780079841614,0.38708168268203735,0.38708168268203735,0.4252780079841614,0.38708168268203735,0.4252780079841614,0.38708168268203735,0.40227800607681274,0.3640816807746887,0.02,0.499810048,0.0,0.4334993064403534,0.9988364577293396,0.010371820069849491,0.10300841927528381,0.13174237310886383,0.2686835527420044,0.41094347834587097,0.411378413438797,0.4334993064403534,0.4334993064403534,0.005300045479089022,0.0008512890199199319,0.2513824999332428,0.05109032816350615,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
9,1695602.625,250.56832885742188,0.0,0.5830950736999512,8475.302734375,8475.302734375,8475.302734375,0.4252699017524719,0.4252699017524719,0.3870750665664673,0.3870750665664673,0.4252699017524719,0.3870750665664673,0.4252699017524719,0.3870750665664673,0.4022698998451233,0.36407506465911865,0.019999999999999997,0.49975991599999997,0.0,0.43349236249923706,0.998832643032074,0.010371845215559006,0.1027892529964447,0.13174577057361603,0.2686835825443268,0.41093090176582336,0.4113660156726837,0.43349236249923706,0.43349236249923706,0.005190116818994284,0.000861124717630446,0.2513748109340668,0.05111048483296246,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
10,1695444.375,250.48634338378906,0.0,0.5823516249656677,8474.513671875,8474.513671875,8474.513671875,0.42521220445632935,0.42521220445632935,0.3870154917240143,0.3870154917240143,0.42521220445632935,0.3870154917240143,0.42521220445632935,0.3870154917240143,0.4022122025489807,0.36401548981666565,0.019999999999999997,0.49970400000000004,0.0,0.4334378242492676,0.9988225102424622,0.010372642427682877,0.10245734453201294,0.13174885511398315,0.26868361234664917,0.4108698070049286,0.41130492091178894,0.4334378242492676,0.4334378242492676,0.005057364236563444,0.0008634938858449459,0.2513660788536072,0.05112854732821385,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
11,1695427.5,250.55091857910156,0.0,0.5815817713737488,8474.4306640625,8474.4306640625,8474.4306640625,0.4252554476261139,0.4252554476261139,0.3870624005794525,0.3870624005794525,0.4252554476261139,0.3870624005794525,0.4252554476261139,0.3870624005794525,0.40225544571876526,0.3640623986721039,0.019999999999999997,0.49964232399999997,0.0,0.4334806501865387,0.9988221526145935,0.010373134166002274,0.10203039646148682,0.13174383342266083,0.2686835527420044,0.4108971357345581,0.41133224964141846,0.4334806501865387,0.4334806501865387,0.004778306465595961,0.0008597294217906892,0.2513570785522461,0.05122717209774742,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
12,1695485.875,250.5572509765625,0.0,0.5809788703918457,8474.724609375,8474.724609375,8474.724609375,0.4252587854862213,0.4252587854862213,0.3870670199394226,0.3870670199394226,0.4252587854862213,0.3870670199394226,0.4252587854862213,0.3870670199394226,0.4022587835788727,0.364067018032074,0.019999999999999997,0.49957491200000004,0.0,0.4334847331047058,0.9988217949867249,0.010373525321483612,0.10182145237922668,0.1317434012889862,0.26868361234664917,0.4108947813510895,0.41133004426956177,0.4334847331047058,0.4334847331047058,0.0046908119693398476,0.0008710007532499731,0.25135108828544617,0.05121154385172607,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
13,1695097.75,250.57254028320312,0.0,0.5805822610855103,8472.7841796875,8472.7841796875,8472.7841796875,0.4252682328224182,0.4252682328224182,0.38707810640335083,0.38707810640335083,0.4252682328224182,0.38707810640335083,0.4252682328224182,0.38707810640335083,0.4022682309150696,0.3640781044960022,0.02,0.499501788,0.0,0.4334946572780609,0.9988215565681458,0.010373546741902828,0.10176271200180054,0.13174133002758026,0.26868361234664917,0.41089916229248047,0.41133442521095276,0.4334946274757385,0.4334946274757385,0.004729755222797394,0.0008959811530075967,0.25134801864624023,0.051208962818944,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
14,1695097.0,250.5958709716797,0.0,0.580244779586792,8472.78125,8472.78125,8472.78125,0.4252829849720001,0.4252829849720001,0.38709506392478943,0.38709506392478943,0.4252829849720001,0.38709506392478943,0.4252829849720001,0.38709506392478943,0.4022829830646515,0.3640950620174408,0.02,0.49942297599999996,0.0,0.43350937962532043,0.9988213181495667,0.010373388417065144,0.1018528938293457,0.13173703849315643,0.2686834931373596,0.4109100103378296,0.41134536266326904,0.43350937962532043,0.43350937962532043,0.004867971409112215,0.0009322231635451317,0.2513478100299835,0.05121747711867405,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
15,1695469.0,250.55323791503906,0.0,0.5798875689506531,8474.642578125,8474.642578125,8474.642578125,0.42525261640548706,0.42525261640548706,0.3870640993118286,0.3870640993118286,0.42525261640548706,0.3870640993118286,0.42525261640548706,0.3870640993118286,0.4022526144981384,0.36406409740448,0.02,0.49933849999999996,0.0,0.4334806203842163,0.9988213181495667,0.010373272001743317,0.10207152366638184,0.13173438608646393,0.2686835527420044,0.4108831286430359,0.4113183915615082,0.4334806203842163,0.4334806203842163,0.00513678090646863,0.0009779476094990969,0.25134947896003723,0.051228887708728306,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
16,1695480.875,250.71360778808594,0.0,0.5795502066612244,8474.7021484375,8474.7021484375,8474.7021484375,0.4253608286380768,0.4253608286380768,0.3871805965900421,0.3871805965900421,0.4253608286380768,0.3871805965900421,0.4253608286380768,0.3871805965900421,0.40236082673072815,0.3641805946826935,0.02,0.499248384,0.0,0.43358537554740906,0.9988534450531006,0.010372305288910866,0.102373868227005,0.1317194402217865,0.26868361234664917,0.4109790623188019,0.41141432523727417,0.43358537554740906,0.43358537554740906,0.0053315432742238045,0.00103194045368582,0.25135257840156555,0.05119714246797634,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
