step,L_total,loss_vol,loss_rep,loss_bnd,loss_fem,loss_comp,comp,vol_frac,vol_frac_internal,vol_frac_eff_total,vol_frac_eff,VF_total,VF_eff_total,VF_int,VF_eff_int,vol_dev,vol_dev_eff,tau,seed_offset_scale,rho_min,rho_mean,rho_max,filter_delta_mean,filter_delta_max,projection_delta_mean,projection_delta_max,rho_raw_mean,rho_filtered_mean,rho_projected_mean,rho_final_mean,drho,dseed,min_seed_dist,grad_mean,best_score,best_step,best_hard_score,best_hard_step,fem_valid,fem_failure_reason,optimizer_step_skipped,w_geo_mean,h_mean,centerline_radius_mean,active_count_total,active_count_mean,active_frac_mean,inactive_count_total,inactive_count_mean,inactive_frac_mean,anchor_update_allowed,collapse_active
0,948.0769653320312,468.4892883300781,0.0,0.0,0.5549206137657166,0.5549206137657166,0.5549206137657166,0.5630732178688049,0.5630732178688049,0.5208261013031006,0.5208261013031006,0.5630732178688049,0.5208261013031006,0.5630732178688049,0.5208261013031006,0.5400732159614563,0.49782609939575195,0.02,0.5,6.620555723202415e-06,0.5683149695396423,0.9992951154708862,0.011485203169286251,0.10241290926933289,0.146140918135643,0.2686835527420044,0.5305036902427673,0.5309139490127563,0.5683149695396423,0.5683149695396423,0.0,0.0,0.2130175530910492,0.025064604515339144,948.0769653320312,0,nan,-1.0,True,,False,0.05773260071873665,0.0,0.52812260389328,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
1,946.3700561523438,467.6045837402344,0.0,0.0,0.5580432415008545,0.5580432415008545,0.5580432415008545,0.5626298189163208,0.5626298189163208,0.5203558206558228,0.5203558206558228,0.5626298189163208,0.5203558206558228,0.5626298189163208,0.5203558206558228,0.5396298170089722,0.4973558187484741,0.02,0.49992549999999997,6.650378054473549e-06,0.5678812861442566,0.9992919564247131,0.011485409922897816,0.10320422053337097,0.14619143307209015,0.2686835527420044,0.5301331281661987,0.5305435657501221,0.5678812861442566,0.5678812861442566,0.0009302524849772453,0.0001254547678399831,0.21332542598247528,0.01670715787299236,946.3700561523438,1,nan,-1.0,True,,False,0.05768357962369919,0.0,0.5276741981506348,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
2,945.0482788085938,466.9189147949219,0.0,0.0,0.5605233907699585,0.5605233907699585,0.5605233907699585,0.5622888803482056,0.5622888803482056,0.5199910402297974,0.5199910402297974,0.5622888803482056,0.5199910402297974,0.5622888803482056,0.5199910402297974,0.5392888784408569,0.49699103832244873,0.019999999999999997,0.49970400000000004,6.680200840492034e-06,0.5675484538078308,0.9992894530296326,0.011486148461699486,0.10352954268455505,0.146230086684227,0.2686835527420044,0.529839038848877,0.5302494168281555,0.5675484538078308,0.5675484538078308,0.0015137474983930588,0.000222064511035569,0.2135292887687683,0.024924365552983038,945.0482788085938,2,nan,-1.0,True,,False,0.05764853209257126,0.0,0.5273535847663879,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
3,943.9216918945312,466.33502197265625,0.0,0.0,0.5625821948051453,0.5625821948051453,0.5625821948051453,0.5619968771934509,0.5619968771934509,0.5196802020072937,0.5196802020072937,0.5619968771934509,0.5196802020072937,0.5619968771934509,0.5196802020072937,0.5389968752861023,0.49668020009994507,0.02,0.49933849999999996,6.680200840492034e-06,0.5672632455825806,0.9992871284484863,0.011485378257930279,0.1037522554397583,0.1462612748146057,0.2686835825443268,0.52959805727005,0.5300084352493286,0.5672632455825806,0.5672632455825806,0.002159543102607131,0.00032682123128324747,0.2137771099805832,0.017295832469244488,943.9216918945312,3,nan,-1.0,True,,False,0.057619743049144745,0.0,0.5270902514457703,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
4,942.5855102539062,465.6412353515625,0.0,0.0,0.5651512145996094,0.5651512145996094,0.5651512145996094,0.561648428440094,0.561648428440094,0.5193105936050415,0.5193105936050415,0.561648428440094,0.5193105936050415,0.561648428440094,0.5193105936050415,0.5386484265327454,0.49631059169769287,0.02,0.498832,6.710022262268467e-06,0.566923201084137,0.9992855191230774,0.011486511677503586,0.10346990823745728,0.14629514515399933,0.26868361234664917,0.5293066501617432,0.529717206954956,0.566923201084137,0.566923201084137,0.0027684178203344345,0.00043175474274903536,0.213983416557312,0.017295822721078165,942.5855102539062,4,nan,-1.0,True,,False,0.0575840026140213,0.0,0.5267632603645325,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
5,941.4118041992188,465.03228759765625,0.0,0.0,0.5673600435256958,0.5673600435256958,0.5673600435256958,0.561342179775238,0.561342179775238,0.5189859867095947,0.5189859867095947,0.561342179775238,0.5189859867095947,0.561342179775238,0.5189859867095947,0.5383421778678894,0.4959859848022461,0.020000000000000004,0.4981875,6.710022262268467e-06,0.5666245222091675,0.9992845058441162,0.011486558243632317,0.10262113809585571,0.14631742238998413,0.26868361234664917,0.5290533304214478,0.5294638872146606,0.5666245222091675,0.5666245222091675,0.0033329075668007135,0.000534391903784126,0.2141590714454651,0.025266507006664243,941.4118041992188,5,nan,-1.0,True,,False,0.057554274797439575,0.0,0.5264913439750671,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
6,938.7342529296875,463.6426086425781,0.0,0.0,0.572451651096344,0.572451651096344,0.572451651096344,0.5606424808502197,0.5606424808502197,0.5182443261146545,0.5182443261146545,0.5606424808502197,0.5182443261146545,0.5606424808502197,0.5182443261146545,0.5376424789428711,0.4952443242073059,0.02,0.49740799999999996,6.769667379558086e-06,0.5659435987472534,0.9992921948432922,0.011486259289085865,0.10218220949172974,0.14638686180114746,0.26868361234664917,0.5284804105758667,0.5288910865783691,0.5659435987472534,0.5659435987472534,0.005074638873338699,0.0007998879300430417,0.2146097868680954,0.026063999165974867,938.7342529296875,6,nan,-1.0,True,,False,0.05748754367232323,0.0,0.5258809328079224,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
7,935.693359375,462.06475830078125,0.0,0.0,0.578192949295044,0.578192949295044,0.578192949295044,0.5598464608192444,0.5598464608192444,0.5174009203910828,0.5174009203910828,0.5598464608192444,0.5174009203910828,0.5598464608192444,0.5174009203910828,0.5368464589118958,0.49440091848373413,0.02,0.4964965,6.829312042100355e-06,0.5651684999465942,0.9992782473564148,0.011492320336401463,0.10247209668159485,0.1464800089597702,0.2686835825443268,0.527813196182251,0.5282242298126221,0.5651684999465942,0.5651684999465942,0.007088556885719299,0.0010889016557484865,0.2151196151971817,0.02517739734159679,935.693359375,7,nan,-1.0,True,,False,0.0574103407561779,0.0,0.5251746773719788,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
8,932.32470703125,460.3166809082031,0.0,0.0,0.584567129611969,0.584567129611969,0.584567129611969,0.5589625835418701,0.5589625835418701,0.5164648294448853,0.5164648294448853,0.5589625835418701,0.5164648294448853,0.5589625835418701,0.5164648294448853,0.5359625816345215,0.4934648275375366,0.02,0.495456,6.8591339186241385e-06,0.564307451248169,0.999270498752594,0.011503179557621479,0.10329961776733398,0.14661073684692383,0.2686834931373596,0.527061402797699,0.5274731516838074,0.564307451248169,0.564307451248169,0.009284311905503273,0.0014052372425794601,0.21568913757801056,0.026509447281973228,932.32470703125,8,nan,-1.0,True,,False,0.057323116809129715,0.0,0.5243767499923706,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
9,928.6650390625,458.417236328125,0.0,0.0,0.5915281176567078,0.5915281176567078,0.5915281176567078,0.5579990148544312,0.5579990148544312,0.5154456496238708,0.5154456496238708,0.5579990148544312,0.5154456496238708,0.5579990148544312,0.5154456496238708,0.5349990129470825,0.4924456477165222,0.02,0.4942895,6.829312042100355e-06,0.5633686184883118,0.999259889125824,0.011509757488965988,0.10430270433425903,0.14671353995800018,0.26868361234664917,0.5262575745582581,0.5266698598861694,0.5633686184883118,0.5633686184883118,0.011612283997237682,0.0017475523054599762,0.2163141965866089,0.025809172325858123,928.6650390625,9,nan,-1.0,True,,False,0.057226598262786865,0.0,0.5234938263893127,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
10,924.6994018554688,456.359130859375,0.0,0.0,0.5990584492683411,0.5990584492683411,0.5990584492683411,0.556952714920044,0.556952714920044,0.5143389701843262,0.5143389701843262,0.556952714920044,0.5143389701843262,0.556952714920044,0.5143389701843262,0.5339527130126953,0.49133896827697754,0.02,0.493,6.829312042100355e-06,0.5623486042022705,0.9992530345916748,0.011513073928654194,0.10615092515945435,0.14682435989379883,0.26868361234664917,0.5253825783729553,0.5257957577705383,0.5623486042022705,0.5623486042022705,0.014055266976356506,0.0021099781151860952,0.21636547148227692,0.025404736765065335,924.6994018554688,10,nan,-1.0,True,,False,0.05712081119418144,0.0,0.5225261449813843,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
11,920.3721923828125,454.12396240234375,0.0,0.0,0.6062146425247192,0.6062146425247192,0.6062146425247192,0.5558111071586609,0.5558111071586609,0.513134241104126,0.513134241104126,0.5558111071586609,0.513134241104126,0.5558111071586609,0.513134241104126,0.5328111052513123,0.49013423919677734,0.02,0.49159050000000004,6.8591339186241385e-06,0.5612356066703796,0.9992492198944092,0.011520126834511757,0.10759028792381287,0.14694155752658844,0.26868361234664917,0.5244300961494446,0.52484530210495,0.5612356066703796,0.5612356066703796,0.016627339646220207,0.0024913328234106302,0.2159937620162964,0.026186504889564175,920.3721923828125,11,nan,-1.0,True,,False,0.05700574815273285,0.0,0.5214735865592957,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
12,916.0814208984375,451.9202880859375,0.0,0.0,0.6120418310165405,0.6120418310165405,0.6120418310165405,0.554684042930603,0.554684042930603,0.5119435787200928,0.5119435787200928,0.554684042930603,0.5119435787200928,0.554684042930603,0.5119435787200928,0.5316840410232544,0.48894357681274414,0.02,0.490064,6.918779035913758e-06,0.5601369738578796,0.9992488622665405,0.011544426903128624,0.10884883999824524,0.14704474806785583,0.2686835527420044,0.5234817862510681,0.5239021182060242,0.5601369738578796,0.5601369738578796,0.019289785996079445,0.0028905561193823814,0.21559946238994598,0.014254669246535437,916.0814208984375,12,nan,-1.0,True,,False,0.05689344182610512,0.0,0.520446240901947,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
13,911.82568359375,449.7375183105469,0.0,0.0,0.6175330877304077,0.6175330877304077,0.6175330877304077,0.5535657405853271,0.5535657405853271,0.5107613801956177,0.5107613801956177,0.5535657405853271,0.5107613801956177,0.5535657405853271,0.5107613801956177,0.5305657386779785,0.48776137828826904,0.02,0.4884235,6.859134373371489e-06,0.5590468049049377,0.9992459416389465,0.011549124494194984,0.10727432370185852,0.14712835848331451,0.2686835825443268,0.5225542783737183,0.522976279258728,0.5590468049049377,0.5590468049049377,0.021999910473823547,0.0033053208608180285,0.21522819995880127,0.01748508661694359,911.82568359375,13,nan,-1.0,True,,False,0.05678422376513481,0.0,0.5194471478462219,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
14,907.1808471679688,447.3578186035156,0.0,0.0,0.6232614517211914,0.6232614517211914,0.6232614517211914,0.552346408367157,0.552346408367157,0.509469211101532,0.509469211101532,0.552346408367157,0.509469211101532,0.552346408367157,0.509469211101532,0.5293464064598083,0.48646920919418335,0.02,0.486672,6.710022717015818e-06,0.5578582882881165,0.9992431998252869,0.011541743762791157,0.10643643140792847,0.14719626307487488,0.26868361234664917,0.5215428471565247,0.521963357925415,0.5578582882881165,0.5578582882881165,0.024846645072102547,0.0037322642747312784,0.21487292647361755,0.017945662289599165,907.1808471679688,14,nan,-1.0,True,,False,0.05666571483016014,0.0,0.5183630585670471,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
15,902.2522583007812,444.8324279785156,0.0,0.0,0.6293714046478271,0.6293714046478271,0.6293714046478271,0.5510428547859192,0.5510428547859192,0.5080941915512085,0.5080941915512085,0.5510428547859192,0.5080941915512085,0.5510428547859192,0.5080941915512085,0.5280428528785706,0.48509418964385986,0.019999999999999997,0.48481250000000004,6.59073293718393e-06,0.5565873384475708,0.9992344379425049,0.011533697135746479,0.10556274652481079,0.1473083198070526,0.2686835527420044,0.5204461216926575,0.5208654999732971,0.5565873384475708,0.5565873384475708,0.02779376320540905,0.004175383131951094,0.21453693509101868,0.017605455985176377,902.2522583007812,15,nan,-1.0,True,,False,0.05653820559382439,0.0,0.5171965956687927,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
16,897.0873413085938,442.1810302734375,0.0,0.0,0.636264979839325,0.636264979839325,0.636264979839325,0.549663245677948,0.549663245677948,0.5066463351249695,0.5066463351249695,0.549663245677948,0.5066463351249695,0.549663245677948,0.5066463351249695,0.5266632437705994,0.48364633321762085,0.02,0.482848,6.411799404304475e-06,0.5552425980567932,0.9992188811302185,0.011535227298736572,0.10521435737609863,0.1474502980709076,0.26868361234664917,0.5192976593971252,0.5197194814682007,0.5552425980567932,0.5552425980567932,0.030820803716778755,0.004633284639567137,0.2142278105020523,0.017807209741375927,897.0873413085938,16,nan,-1.0,True,,False,0.05640179663896561,0.0,0.5159487724304199,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
17,891.5631713867188,439.34466552734375,0.0,0.0,0.6436930894851685,0.6436930894851685,0.6436930894851685,0.5481746196746826,0.5481746196746826,0.5050926804542542,0.5050926804542542,0.5481746196746826,0.5050926804542542,0.5481746196746826,0.5050926804542542,0.525174617767334,0.4820926785469055,0.019999999999999997,0.48078150000000003,6.232864961930318e-06,0.5537921190261841,0.9992027878761292,0.011540122330188751,0.1059197187423706,0.147597074508667,0.26868361234664917,0.5180683732032776,0.5184925198554993,0.5537921190261841,0.5537921190261841,0.033946409821510315,0.0051057906821370125,0.21394208073616028,0.017774745568102743,891.5631713867188,17,nan,-1.0,True,,False,0.05625688284635544,0.0,0.5146231651306152,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
18,886.3601684570312,436.67181396484375,0.0,0.0,0.6508274078369141,0.6508274078369141,0.6508274078369141,0.5467645525932312,0.5467645525932312,0.5036239624023438,0.5036239624023438,0.5467645525932312,0.5036239624023438,0.5467645525932312,0.5036239624023438,0.5237645506858826,0.4806239604949951,0.02,0.478616,6.053931429050863e-06,0.5524181127548218,0.999192476272583,0.011541038751602173,0.09946209192276001,0.14770559966564178,0.2686835825443268,0.5169087648391724,0.5173353552818298,0.5524181127548218,0.5524181127548218,0.037077177315950394,0.005592603702098131,0.2136789709329605,0.011733215958681993,886.3601684570312,18,nan,-1.0,True,,False,0.05612320080399513,0.0,0.5134002566337585,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
19,886.3348999023438,436.65826416015625,0.0,0.0,0.6509175300598145,0.6509175300598145,0.6509175300598145,0.546746015548706,0.546746015548706,0.5036165118217468,0.5036165118217468,0.546746015548706,0.5036165118217468,0.546746015548706,0.5036165118217468,0.5237460136413574,0.4806165099143982,0.02,0.4763545,5.964464889984811e-06,0.5524008870124817,0.999197781085968,0.011529983952641487,0.09887164831161499,0.14762195944786072,0.26868361234664917,0.5170097351074219,0.5174368619918823,0.5524008870124817,0.5524008870124817,0.03963032737374306,0.006091718096286058,0.21340972185134888,0.01183443310825775,886.3348999023438,19,nan,-1.0,True,,False,0.05616825819015503,0.0,0.5138124227523804,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
20,885.9459228515625,436.46356201171875,0.0,0.0,0.650938868522644,0.650938868522644,0.650938868522644,0.5466338396072388,0.5466338396072388,0.5035093426704407,0.5035093426704407,0.5466338396072388,0.5035093426704407,0.5466338396072388,0.5035093426704407,0.5236338376998901,0.48050934076309204,0.02,0.47400000000000003,5.874997896171408e-06,0.5522915720939636,0.999204158782959,0.011523154564201832,0.10249140858650208,0.14757435023784637,0.26868361234664917,0.5170217156410217,0.5174486637115479,0.5522915720939636,0.5522915720939636,0.042259279638528824,0.006600972730666399,0.21313627064228058,0.012900420002147762,885.9459228515625,20,nan,-1.0,True,,False,0.056203797459602356,0.0,0.5141375064849854,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
21,885.1786499023438,436.0818176269531,0.0,0.0,0.6507513523101807,0.6507513523101807,0.6507513523101807,0.5464243292808533,0.5464243292808533,0.5032991766929626,0.5032991766929626,0.5464243292808533,0.5032991766929626,0.5464243292808533,0.5032991766929626,0.5234243273735046,0.480299174785614,0.02,0.4715555,5.7557085710868705e-06,0.5520874261856079,0.9992116689682007,0.01151218917220831,0.10584241151809692,0.14751416444778442,0.26868361234664917,0.5169445872306824,0.5173680186271667,0.5520874261856079,0.5520874261856079,0.04494905099272728,0.007120024412870407,0.21285727620124817,0.012009295448984226,885.1786499023438,21,nan,-1.0,True,,False,0.056230418384075165,0.0,0.5143810510635376,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
