step,L_total,loss_vol,loss_rep,loss_bnd,loss_fem,loss_comp,comp,vol_frac,vol_frac_internal,vol_frac_eff_total,vol_frac_eff,VF_total,VF_eff_total,VF_int,VF_eff_int,vol_dev,vol_dev_eff,tau,seed_offset_scale,rho_min,rho_mean,rho_max,filter_delta_mean,filter_delta_max,projection_delta_mean,projection_delta_max,rho_raw_mean,rho_filtered_mean,rho_projected_mean,rho_final_mean,drho,dseed,min_seed_dist,grad_mean,best_score,best_step,best_hard_score,best_hard_step,fem_valid,fem_failure_reason,optimizer_step_skipped,w_geo_mean,h_mean,centerline_radius_mean,active_count_total,active_count_mean,active_frac_mean,inactive_count_total,inactive_count_mean,inactive_frac_mean,anchor_update_allowed,collapse_active
0,1049148.25,93.83869171142578,0.0,0.4970695674419403,5244.029296875,5244.029296875,5244.029296875,0.25951990485191345,0.25951990485191345,0.2458018660545349,0.2458018660545349,0.25951990485191345,0.2458018660545349,0.25951990485191345,0.2458018660545349,0.23651990294456482,0.22280186414718628,0.02,0.5,0.0,0.2573445737361908,0.999988317489624,0.019594969227910042,0.29105958342552185,0.04877270385622978,0.2686835825443268,0.2557218372821808,0.25593245029449463,0.2573445737361908,0.2573445737361908,0.0,0.0,0.24718531966209412,0.05439625807048287,1049148.25,0,nan,-1.0,True,,False,0.1415802389383316,0.0,0.1415802389383316,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
1,1049143.625,93.84968566894531,0.0,0.4965704083442688,5244.0078125,5244.0078125,5244.0078125,0.259583443403244,0.259583443403244,0.24581491947174072,0.24581491947174072,0.259583443403244,0.24581491947174072,0.259583443403244,0.24581491947174072,0.23658344149589539,0.2228149175643921,0.02,0.4999992505,0.0,0.257409006357193,0.999988317489624,0.019578883424401283,0.2936384379863739,0.04868462309241295,0.26868361234664917,0.25581833720207214,0.2560296356678009,0.257409006357193,0.257409006357193,0.0013522941153496504,0.0001311052037635818,0.2472062110900879,0.05436016632948951,1049143.625,1,nan,-1.0,True,,False,0.14165613055229187,0.0,0.14165613055229187,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
2,1049139.375,93.86031341552734,0.0,0.49605321884155273,5243.9873046875,5243.9873046875,5243.9873046875,0.259655237197876,0.259655237197876,0.24582752585411072,0.24582752585411072,0.259655237197876,0.24582752585411072,0.259655237197876,0.24582752585411072,0.23665523529052734,0.22282752394676208,0.02,0.49999700399999997,0.0,0.2574816346168518,0.999988317489624,0.019557692110538483,0.2847003936767578,0.048568643629550934,0.26868361234664917,0.2559254765510559,0.25613754987716675,0.2574816346168518,0.2574816346168518,0.0027046261820942163,0.00026076004724018276,0.2469845861196518,0.05375966915906045,1049139.375,2,nan,-1.0,True,,False,0.14173975586891174,0.0,0.14173975586891174,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
3,1049135.25,93.89422607421875,0.0,0.49553385376930237,5243.96826171875,5243.96826171875,5243.96826171875,0.2597564160823822,0.2597564160823822,0.2458677738904953,0.2458677738904953,0.2597564160823822,0.2458677738904953,0.2597564160823822,0.2458677738904953,0.23675641417503357,0.22286777198314667,0.02,0.4999932635,0.0,0.2575836777687073,0.9999884366989136,0.019534796476364136,0.2807918190956116,0.04842078313231468,0.2686835825443268,0.25606024265289307,0.2562733292579651,0.2575836777687073,0.2575836777687073,0.004050846211612225,0.0003894051187671721,0.24673031270503998,0.05318136592460279,1049135.25,3,nan,-1.0,True,,False,0.14184118807315826,0.0,0.14184118807315826,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
4,1049131.875,93.93753051757812,0.0,0.4952358305454254,5243.9521484375,5243.9521484375,5243.9521484375,0.25986748933792114,0.25986748933792114,0.24591916799545288,0.24591916799545288,0.25986748933792114,0.24591916799545288,0.25986748933792114,0.24591916799545288,0.2368674874305725,0.22291916608810425,0.02,0.49998803199999997,0.0,0.2576957046985626,0.9999885559082031,0.019508637487888336,0.2905890941619873,0.048261016607284546,0.26868361234664917,0.25620177388191223,0.2564159035682678,0.2576957046985626,0.2576957046985626,0.005403266754001379,0.000517915585078299,0.24646823108196259,0.048947772305432916,1049131.875,4,nan,-1.0,True,,False,0.14194908738136292,0.0,0.14194908738136292,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
5,1049129.0,93.9947738647461,0.0,0.4949900805950165,5243.9375,5243.9375,5243.9375,0.2599886953830719,0.2599886953830719,0.24598708748817444,0.24598708748817444,0.2599886953830719,0.24598708748817444,0.2599886953830719,0.24598708748817444,0.23698869347572327,0.2229870855808258,0.02,0.4999813125,0.0,0.2578178942203522,0.9999886751174927,0.01948130875825882,0.28943705558776855,0.0481010377407074,0.2686835825443268,0.2563498020172119,0.2565649449825287,0.2578178942203522,0.2578178942203522,0.0067598409950733185,0.000644821091555059,0.2462044656276703,0.046322604846662015,1049129.0,5,nan,-1.0,True,,False,0.14206190407276154,0.0,0.14206190407276154,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
6,1049126.625,94.07205200195312,0.0,0.4947994351387024,5243.92578125,5243.92578125,5243.92578125,0.2601228654384613,0.2601228654384613,0.2460787147283554,0.2460787147283554,0.2601228654384613,0.2460787147283554,0.2601228654384613,0.2460787147283554,0.23712286353111267,0.22307871282100677,0.02,0.499973108,0.0,0.2579529285430908,0.9999887943267822,0.019454792141914368,0.28716206550598145,0.04796953499317169,0.26868361234664917,0.25650519132614136,0.2567214369773865,0.2579529285430908,0.2579529285430908,0.008066093549132347,0.000762582232709974,0.2459392547607422,0.037853223711459175,1049126.625,6,nan,-1.0,True,,False,0.14217868447303772,0.0,0.14217868447303772,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
7,1049124.375,94.17253112792969,0.0,0.49450021982192993,5243.9150390625,5243.9150390625,5243.9150390625,0.260271817445755,0.260271817445755,0.24619781970977783,0.24619781970977783,0.260271817445755,0.24619781970977783,0.260271817445755,0.24619781970977783,0.23727181553840637,0.2231978178024292,0.02,0.4999634215,0.0,0.25810274481773376,0.9999889135360718,0.01943780481815338,0.2860349118709564,0.04787620157003403,0.2686835527420044,0.2566692531108856,0.25688669085502625,0.25810274481773376,0.25810274481773376,0.009328246116638184,0.000874030462000519,0.24567078053951263,0.03463539467257862,1049124.375,7,nan,-1.0,True,,False,0.14230047166347504,0.0,0.14230047166347504,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
8,1049122.25,94.2954330444336,0.0,0.49395161867141724,5243.9052734375,5243.9052734375,5243.9052734375,0.26043277978897095,0.26043277978897095,0.24634341895580292,0.24634341895580292,0.26043277978897095,0.24634341895580292,0.26043277978897095,0.24634341895580292,0.23743277788162231,0.22334341704845428,0.02,0.49995225600000004,0.0,0.2582643926143646,0.9999889135360718,0.0194257739931345,0.28945380449295044,0.047816552221775055,0.2686835825443268,0.25683915615081787,0.25705766677856445,0.2582643926143646,0.2582643926143646,0.010509984567761421,0.0009755431674420834,0.24540328979492188,0.03760604482926687,1049122.25,8,nan,-1.0,True,,False,0.14242474734783173,0.0,0.14242474734783173,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
9,1049120.375,94.43276977539062,0.0,0.49344736337661743,5243.89599609375,5243.89599609375,5243.89599609375,0.2605965733528137,0.2605965733528137,0.246506005525589,0.246506005525589,0.2605965733528137,0.246506005525589,0.2605965733528137,0.246506005525589,0.2375965714454651,0.22350600361824036,0.02,0.49993961449999996,0.0,0.2584289610385895,0.9999890327453613,0.019420700147747993,0.290008544921875,0.047800175845623016,0.2686835825443268,0.25700682401657104,0.25722652673721313,0.2584289610385895,0.2584289610385895,0.011674461886286736,0.0010733174858614802,0.2451382875442505,0.03819541396579654,1049120.375,9,nan,-1.0,True,,False,0.14255115389823914,0.0,0.14255115389823914,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
