step,L_total,loss_vol,loss_rep,loss_bnd,loss_fem,loss_comp,comp,vol_frac,vol_frac_internal,vol_frac_eff_total,vol_frac_eff,VF_total,VF_eff_total,VF_int,VF_eff_int,vol_dev,vol_dev_eff,tau,seed_offset_scale,rho_min,rho_mean,rho_max,filter_delta_mean,filter_delta_max,projection_delta_mean,projection_delta_max,rho_raw_mean,rho_filtered_mean,rho_projected_mean,rho_final_mean,drho,dseed,min_seed_dist,grad_mean,best_score,best_step,best_hard_score,best_hard_step,fem_valid,fem_failure_reason,optimizer_step_skipped,w_geo_mean,h_mean,centerline_radius_mean,active_count_total,active_count_mean,active_frac_mean,inactive_count_total,inactive_count_mean,inactive_frac_mean,anchor_update_allowed,collapse_active
0,3.499999761581421,0.7842530012130737,0.0,0.4665953516960144,3.2919749628490536e-06,3.2919749628490536e-06,32919.75,0.18291279673576355,0.18291279673576355,0.06292116641998291,0.06292116641998291,0.18291279673576355,0.06292116641998291,0.18291279673576355,0.06292116641998291,0.31708720326423645,0.4370788335800171,0.02,1.0,0.00013873822172172368,0.18500593304634094,0.8138347268104553,0.0,0.0,0.0,0.0,0.18500593304634094,0.18500593304634094,0.18500593304634094,0.18500593304634094,0.0,0.0,0.2130647450685501,0.10577080174152798,3.499999761581421,0,nan,-1.0,True,,False,0.07176825404167175,0.0,0.6565170884132385,15.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
1,3.335165023803711,0.7828147411346436,0.0,0.3580537438392639,3.1397973998537054e-06,3.1397973998537054e-06,31397.97265625,0.18369950354099274,0.18369950354099274,0.0626039057970047,0.0626039057970047,0.18369950354099274,0.0626039057970047,0.18369950354099274,0.0626039057970047,0.31630051136016846,0.4373961091041565,0.02,1.0,0.00011201556480955333,0.18542395532131195,0.8159744143486023,0.0,0.0,0.0,0.0,0.18542395532131195,0.18542395532131195,0.18542395532131195,0.18542395532131195,0.13125480711460114,0.05526589974761009,0.15734131634235382,0.09307754392284551,3.335165023803711,1,nan,-1.0,True,,False,0.07218244671821594,0.0,0.6603059768676758,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
2,3.230055570602417,0.7730854153633118,0.0,0.3190334439277649,3.0064109068916878e-06,3.0064109068916878e-06,30064.109375,0.18622513115406036,0.18622513115406036,0.0645308718085289,0.0645308718085289,0.18622513115406036,0.0645308718085289,0.18622513115406036,0.0645308718085289,0.31377488374710083,0.4354691207408905,0.019999999999999997,1.0,0.000427813472924754,0.18800048530101776,0.8194260001182556,0.0,0.0,0.0,0.0,0.18800048530101776,0.18800048530101776,0.18800048530101776,0.18800048530101776,0.13094307482242584,0.0673603042960167,0.08822810649871826,0.10003972909885306,3.230055570602417,2,nan,-1.0,True,,False,0.07315867394208908,0.0,0.6692363023757935,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
3,3.7218451499938965,0.8562173247337341,0.0,0.32161611318588257,3.927699708583532e-06,3.927699708583532e-06,39276.99609375,0.16293813288211823,0.16293813288211823,0.05179554596543312,0.05179554596543312,0.16293813288211823,0.05179554596543312,0.16293813288211823,0.05179554596543312,0.33706188201904297,0.4482044577598572,0.02,1.0,4.110900408704765e-05,0.16452214121818542,0.8272389769554138,0.0,0.0,0.0,0.0,0.16452214121818542,0.16452214121818542,0.16452214121818542,0.16452214121818542,0.12614727020263672,0.066938117146492,0.0881994366645813,0.046666808371537624,3.230055570602417,2,nan,-1.0,True,,False,0.06915806233882904,0.0,0.6326397061347961,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
4,3.4727935791015625,0.807762622833252,0.0,0.32205045223236084,3.5133266464981716e-06,3.5133266464981716e-06,35133.265625,0.1762283444404602,0.1762283444404602,0.059290170669555664,0.059290170669555664,0.1762283444404602,0.059290170669555664,0.1762283444404602,0.059290170669555664,0.3237716555595398,0.44070982933044434,0.02,1.0,0.00011078957322752103,0.17789186537265778,0.7903659343719482,0.0,0.0,0.0,0.0,0.17789186537265778,0.17789186537265778,0.17789186537265778,0.17789186537265778,0.12535974383354187,0.06940284371376038,0.08814498782157898,0.10034296164415082,3.230055570602417,2,nan,-1.0,True,,False,0.0712803453207016,0.0,0.6520538330078125,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
5,3.397554397583008,0.7967344522476196,0.0,0.3218783736228943,3.356665729370434e-06,3.356665729370434e-06,33566.65625,0.17942146956920624,0.17942146956920624,0.060880377888679504,0.060880377888679504,0.17942146956920624,0.060880377888679504,0.17942146956920624,0.060880377888679504,0.32057851552963257,0.4391196370124817,0.020000000000000004,1.0,0.00011535421799635515,0.18104927241802216,0.7738059759140015,0.0,0.0,0.0,0.0,0.18104927241802216,0.18104927241802216,0.18104927241802216,0.18104927241802216,0.1262207329273224,0.06940927356481552,0.08810855448246002,0.10028793111327391,3.230055570602417,2,nan,-1.0,True,,False,0.07130897790193558,0.0,0.6523157358169556,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
6,3.3946633338928223,0.7962512373924255,0.0,0.32182279229164124,3.3493954560981365e-06,3.3493954560981365e-06,33493.953125,0.17955443263053894,0.17955443263053894,0.060961391776800156,0.060961391776800156,0.17955443263053894,0.060961391776800156,0.17955443263053894,0.060961391776800156,0.32044556736946106,0.43903860449790955,0.02,1.0,0.0001153887715190649,0.18118338286876678,0.7741468548774719,0.0,0.0,0.0,0.0,0.18118338286876678,0.18118338286876678,0.18118338286876678,0.18118338286876678,0.12625102698802948,0.06940940022468567,0.08808684349060059,0.1002918189118807,3.230055570602417,2,nan,-1.0,True,,False,0.0713314563035965,0.0,0.6525213718414307,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
7,3.420039176940918,0.8002524375915527,0.0,0.3207782804965973,3.402107950023492e-06,3.402107950023492e-06,34021.078125,0.1783825159072876,0.1783825159072876,0.0603971965610981,0.0603971965610981,0.1783825159072876,0.0603971965610981,0.1783825159072876,0.0603971965610981,0.3216174840927124,0.439602792263031,0.02,1.0,0.00011308104149065912,0.18002352118492126,0.7745606899261475,0.0,0.0,0.0,0.0,0.18002352118492126,0.18002352118492126,0.18002352118492126,0.18002352118492126,0.12639057636260986,0.06938804686069489,0.08807632327079773,0.1002337119346521,3.230055570602417,2,nan,-1.0,True,,False,0.07135353982448578,0.0,0.6527233719825745,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
8,3.3331046104431152,0.7808822989463806,0.0,0.3193349242210388,3.2792015645100037e-06,3.2792015645100037e-06,32792.015625,0.1839766502380371,0.1839766502380371,0.06330829858779907,0.06330829858779907,0.1839766502380371,0.06330829858779907,0.1839766502380371,0.06330829858779907,0.3160233497619629,0.4366917014122009,0.02,1.0,0.00021031218057032675,0.18558865785598755,0.7814737558364868,0.0,0.0,0.0,0.0,0.18558865785598755,0.18558865785598755,0.18558865785598755,0.18558865785598755,0.12364349514245987,0.06916438788175583,0.08807479590177536,0.10027016182430089,3.230055570602417,2,nan,-1.0,True,,False,0.07199697196483612,0.0,0.6586093306541443,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
9,3.360344409942627,0.7849631309509277,0.0,0.31934282183647156,3.3315727705485187e-06,3.3315727705485187e-06,33315.7265625,0.18277041614055634,0.18277041614055634,0.06272159516811371,0.06272159516811371,0.18277041614055634,0.06272159516811371,0.18277041614055634,0.06272159516811371,0.31722956895828247,0.4372783899307251,0.02,1.0,0.00020617010886780918,0.18439392745494843,0.7817397117614746,0.0,0.0,0.0,0.0,0.18439392745494843,0.18439392745494843,0.18439392745494843,0.18439392745494843,0.12361712753772736,0.06916382163763046,0.0880812406539917,0.100269709341228,3.230055570602417,2,nan,-1.0,True,,False,0.0720188096165657,0.0,0.6588091254234314,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
